tempo,ax,ay,az,acao
966.0,-6.15,6.25,-3.55,comendo
968.0,-6.19,6.24,-3.57,comendo
970.0,-6.16,6.24,-3.57,comendo
972.0,-6.19,6.24,-3.55,comendo
974.0,-6.18,6.23,-3.57,comendo
976.0,-6.18,6.24,-3.55,comendo
978.0,-6.18,6.23,-3.57,comendo
980.0,-6.17,6.22,-3.57,comendo
982.0,-6.17,6.23,-3.52,comendo
984.0,-6.19,6.24,-3.57,comendo
986.0,-6.18,6.23,-3.56,comendo
988.0,-6.19,6.21,-3.56,comendo
990.0,-6.16,6.24,-3.56,comendo
992.0,-6.17,6.23,-3.6,comendo
994.0,-6.18,6.25,-3.57,comendo
150.0,-4.92,6.91,-4.38,engolir_seco
152.0,-4.94,6.9,-4.37,engolir_seco
154.0,-4.92,6.9,-4.4,engolir_seco
156.0,-4.91,6.87,-4.36,engolir_seco
158.0,-4.92,6.9,-4.37,engolir_seco
160.0,-4.92,6.91,-4.37,engolir_seco
162.0,-4.93,6.88,-4.4,engolir_seco
164.0,-4.93,6.89,-4.36,engolir_seco
166.0,-4.93,6.88,-4.37,engolir_seco
168.0,-4.92,6.87,-4.37,engolir_seco
170.0,-4.91,6.9,-4.35,engolir_seco
172.0,-4.91,6.87,-4.4,engolir_seco
174.0,-4.93,6.88,-4.35,engolir_seco
176.0,-4.92,6.89,-4.39,engolir_seco
178.0,-4.92,6.89,-4.38,engolir_seco
180.0,-4.93,6.86,-4.36,engolir_seco
182.0,-4.92,6.88,-4.39,engolir_seco
184.0,-4.93,6.88,-4.35,engolir_seco
186.0,-4.93,6.89,-4.39,engolir_seco
188.0,-4.92,6.89,-4.32,engolir_seco
190.0,-4.92,6.88,-4.36,engolir_seco
192.0,-4.91,6.9,-4.36,engolir_seco
194.0,-4.93,6.85,-4.35,engolir_seco
196.0,-4.92,6.89,-4.37,engolir_seco
198.0,-4.92,6.89,-4.39,engolir_seco
200.0,-4.92,6.89,-4.35,engolir_seco
202.0,-4.92,6.86,-4.41,engolir_seco
204.0,-4.94,6.89,-4.36,engolir_seco
206.0,-4.9,6.88,-4.4,engolir_seco
208.0,-4.94,6.89,-4.33,engolir_seco
210.0,-4.9,6.85,-4.37,engolir_seco
212.0,-4.93,6.9,-4.37,engolir_seco
214.0,-4.92,6.87,-4.39,engolir_seco
216.0,-4.95,6.88,-4.32,engolir_seco
218.0,-4.93,6.91,-4.38,engolir_seco
220.0,-4.94,6.86,-4.36,engolir_seco
246.0,-4.94,6.87,-4.36,engolir_seco
248.0,-4.93,6.87,-4.39,engolir_seco
250.0,-4.92,6.9,-4.36,engolir_seco
252.0,-4.94,6.85,-4.39,engolir_seco
254.0,-4.92,6.89,-4.35,engolir_seco
256.0,-4.92,6.89,-4.4,engolir_seco
